https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AXS,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1643446800000,2022-01-29 09:00:00,AXS/USDT,49.14785976,49.14785976,49.14785976,49.14785976,6.69417342,0.13620478,0,0,0,0
1643443200000,2022-01-29 08:00:00,AXS/USDT,49.14785976,49.25609761,49.14785976,49.14785976,844.43506478,17.18127672,0,0,0,0
1643439600000,2022-01-29 07:00:00,AXS/USDT,48.03804947,48.03804947,48.03804947,48.03804947,45.76932912,0.95277243,0,0,0,0
1643436000000,2022-01-29 06:00:00,AXS/USDT,47.89983452,47.92829631,47.89983452,47.92829631,5.50000014,0.11475476,0,0,0,0
1643432400000,2022-01-29 05:00:00,AXS/USDT,47.89983452,47.89983452,47.89983452,47.89983452,0,0,0,0,0,0
1643428800000,2022-01-29 04:00:00,AXS/USDT,47.82342194,47.89983452,47.82342194,47.89983452,99.99999978,2.08768988,0,0,0,0
1643425200000,2022-01-29 03:00:00,AXS/USDT,47.82342194,47.82342194,47.82342194,47.82342194,0,0,0,0,0,0
1643421600000,2022-01-29 02:00:00,AXS/USDT,47.82342194,47.82342194,47.82342194,47.82342194,0,0,0,0,0,0
1643418000000,2022-01-29 01:00:00,AXS/USDT,47.82342194,47.82342194,47.82342194,47.82342194,0,0,0,0,0,0
1643414400000,2022-01-29 00:00:00,AXS/USDT,47.82342194,47.82342194,47.82342194,47.82342194,0,0,0,0,0,0
1643410800000,2022-01-28 23:00:00,AXS/USDT,47.82342194,47.82342194,47.82342194,47.82342194,0,0,0,0,0,0
1643407200000,2022-01-28 22:00:00,AXS/USDT,47.82342194,47.82342194,47.82342194,47.82342194,0,0,0,0,0,0
1643403600000,2022-01-28 21:00:00,AXS/USDT,47.82342194,47.82342194,47.82342194,47.82342194,0,0,0,0,0,0
1643400000000,2022-01-28 20:00:00,AXS/USDT,46,47.82342194,46,47.82342194,47.82342194,1,0,0,0,0
1643396400000,2022-01-28 19:00:00,AXS/USDT,46,46,46,46,0,0,0,0,0,0
1643392800000,2022-01-28 18:00:00,AXS/USDT,46,46,46,46,0,0,0,0,0,0
1643389200000,2022-01-28 17:00:00,AXS/USDT,46,46,46,46,0,0,0,0,0,0
1643385600000,2022-01-28 16:00:00,AXS/USDT,47.85,47.85,46,46,50.00000038,1.08695653,0,0,0,0
1643382000000,2022-01-28 15:00:00,AXS/USDT,46.28591462,47.85,46.28591462,47.85,47.85,1,0,0,0,0
1643378400000,2022-01-28 14:00:00,AXS/USDT,46.28591462,46.28591462,46.28591462,46.28591462,1.49238285,0.0322427,0,0,0,0
1643374800000,2022-01-28 13:00:00,AXS/USDT,45.88888888,45.88888888,45.88888888,45.88888888,0,0,0,0,0,0
1643371200000,2022-01-28 12:00:00,AXS/USDT,46.6,46.6,45.88888888,45.88888888,9.17777777,0.2,0,0,0,0
1643367600000,2022-01-28 11:00:00,AXS/USDT,46.6,46.6,46.17974674,46.17974674,238.54466458,5.11923527,0,0,0,0
1643364000000,2022-01-28 10:00:00,AXS/USDT,46.5,46.5,46.5,46.5,465,10,0,0,0,0
1643360400000,2022-01-28 09:00:00,AXS/USDT,46.68,46.68,46.68,46.68,0,0,0,0,0,0
1643356800000,2022-01-28 08:00:00,AXS/USDT,46.68,46.68,46.68,46.68,45.54999996,0.97579263,0,0,0,0
1643353200000,2022-01-28 07:00:00,AXS/USDT,51,51,47.32562475,47.32562475,17.48205691,0.36939939,0,0,0,0
1643349600000,2022-01-28 06:00:00,AXS/USDT,51,51,47.32562475,47.32562475,0,0,0,0,0,0
1643346000000,2022-01-28 05:00:00,AXS/USDT,51,51,47.32562475,47.32562475,0,0,0,0,0,0
1643342400000,2022-01-28 04:00:00,AXS/USDT,51,51,47.32562475,47.32562475,0,0,0,0,0,0
1643338800000,2022-01-28 03:00:00,AXS/USDT,51,51,47.32562475,47.32562475,0,0,0,0,0,0
1643335200000,2022-01-28 02:00:00,AXS/USDT,51,51,47.32562475,47.32562475,0,0,0,0,0,0
1643331600000,2022-01-28 01:00:00,AXS/USDT,51,51,47.32562475,47.32562475,9.47738127,0.1877074,0,0,0,0
1643328000000,2022-01-28 00:00:00,AXS/USDT,51.22083181,51.22083181,51.22083181,51.22083181,0,0,0,0,0,0
1643324400000,2022-01-27 23:00:00,AXS/USDT,48.49146661,51.22083181,48.49146661,51.22083181,288.89395206,5.64016518,0,0,0,0
1643320800000,2022-01-27 22:00:00,AXS/USDT,48.49146661,48.49146661,48.49146661,48.49146661,0,0,0,0,0,0
1643317200000,2022-01-27 21:00:00,AXS/USDT,48.49146661,48.49146661,48.49146661,48.49146661,0,0,0,0,0,0
1643313600000,2022-01-27 20:00:00,AXS/USDT,48.49146661,48.49146661,48.49146661,48.49146661,0,0,0,0,0,0
1643310000000,2022-01-27 19:00:00,AXS/USDT,48.49146661,48.49146661,48.49146661,48.49146661,19.9999999,0.4124437,0,0,0,0
1643306400000,2022-01-27 18:00:00,AXS/USDT,49,49.52466128,48,49.38744176,9.95962424,0.20199058,0,0,0,0
1643302800000,2022-01-27 17:00:00,AXS/USDT,49.00000001,49.52466128,48,49.52466128,84.89292993,1.73933266,0,0,0,0
1643299200000,2022-01-27 16:00:00,AXS/USDT,49.00000001,49.00000001,49,49,170.3191,3.4759,0,0,0,0
1643295600000,2022-01-27 15:00:00,AXS/USDT,48,49,48,49,316.32300693,6.45557157,0,0,0,0
1643292000000,2022-01-27 14:00:00,AXS/USDT,48,48,48,48,0,0,0,0,0,0
1643288400000,2022-01-27 13:00:00,AXS/USDT,48,48,48,48,0,0,0,0,0,0
1643284800000,2022-01-27 12:00:00,AXS/USDT,48,48,48,48,0,0,0,0,0,0
1643281200000,2022-01-27 11:00:00,AXS/USDT,48,48,48,48,0,0,0,0,0,0
1643277600000,2022-01-27 10:00:00,AXS/USDT,48,48,48,48,0,0,0,0,0,0
1643274000000,2022-01-27 09:00:00,AXS/USDT,48,48,48,48,0,0,0,0,0,0
1643270400000,2022-01-27 08:00:00,AXS/USDT,48,48,48,48,0,0,0,0,0,0
1643266800000,2022-01-27 07:00:00,AXS/USDT,48,48,48,48,0,0,0,0,0,0
1643263200000,2022-01-27 06:00:00,AXS/USDT,48,48,48,48,0,0,0,0,0,0
1643259600000,2022-01-27 05:00:00,AXS/USDT,48,48,48,48,0,0,0,0,0,0
1643256000000,2022-01-27 04:00:00,AXS/USDT,48,48,48,48,0,0,0,0,0,0
1643252400000,2022-01-27 03:00:00,AXS/USDT,48,48,48,48,0,0,0,0,0,0
1643248800000,2022-01-27 02:00:00,AXS/USDT,48,48,48,48,245.69928576,5.11873512,0,0,0,0
