https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LSK,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1583884800000,2020-03-11 00:00:00,LSK/USDT,1.27996651,1.285,1.12100006,1.17209614,3623.86644771,2986.28008367,0,0,0,1.21350521
1583798400000,2020-03-10 00:00:00,LSK/USDT,1.120989,1.281,1.07242553,1.2809956,5443.4501902,4517.20158556,0,0,0,1.2050492
1583712000000,2020-03-09 00:00:00,LSK/USDT,1.15775039,1.22989091,1.02119596,1.10977147,12110.29487584,10670.45807962,0,0,0,1.13493673
1583625600000,2020-03-08 00:00:00,LSK/USDT,1.37877753,1.37877753,1.13056037,1.15773821,6159.65970528,4987.03384005,0,0,0,1.23513493
1583539200000,2020-03-07 00:00:00,LSK/USDT,1.45562103,1.45999996,1.35000001,1.38215782,3508.60031213,2489.01820115,0,0,0,1.40963224
1583452800000,2020-03-06 00:00:00,LSK/USDT,1.3862,1.490286,1.37113006,1.45562103,4339.96656344,3010.37784697,0,0,0,1.44166838
1583366400000,2020-03-05 00:00:00,LSK/USDT,1.34297242,1.41236156,1.32262349,1.3862,1885.90926912,1367.2580619,0,0,0,1.37933673
1583280000000,2020-03-04 00:00:00,LSK/USDT,1.36385779,1.37,1.31,1.343148,986.13026015,746.82490891,0,0,0,1.32043032
1583193600000,2020-03-03 00:00:00,LSK/USDT,1.38820586,1.464,1.31423285,1.363847,5807.37480197,4227.80836911,0,0,0,1.37361353
1583107200000,2020-03-02 00:00:00,LSK/USDT,1.34013931,1.432,1.34013931,1.39896863,12376.48002901,8920.09864975,0,0,0,1.38748241
1583020800000,2020-03-01 00:00:00,LSK/USDT,1.281,1.3999558,1.25,1.34013931,2692.38634677,2100.24996018,0,0,0,1.28193614
1582934400000,2020-02-29 00:00:00,LSK/USDT,1.29057494,1.409989,1.25300005,1.31,2209.74916581,1644.57408184,0,0,0,1.34366045
1582848000000,2020-02-28 00:00:00,LSK/USDT,1.32624971,1.41899997,1.22522963,1.29000001,22877.03160689,18190.77196897,0,0,0,1.25761741
1582761600000,2020-02-27 00:00:00,LSK/USDT,1.253,1.4987169,1.22500003,1.27169484,15954.38483428,11360.91231944,0,0,0,1.4043225
1582675200000,2020-02-26 00:00:00,LSK/USDT,1.34317448,1.565,1.152041,1.25316333,26687.8105885,20292.47786226,0,0,0,1.3151578
1582588800000,2020-02-25 00:00:00,LSK/USDT,1.520912,1.53358672,1.30557084,1.33562496,4270.15079071,3078.7433874,0,0,0,1.38697846
1582502400000,2020-02-24 00:00:00,LSK/USDT,1.56834047,1.63699999,1.40000992,1.520912,7920.32399346,5215.01442894,0,0,0,1.51875399
1582416000000,2020-02-23 00:00:00,LSK/USDT,1.431781,1.639,1.431781,1.639,9415.8530368,6092.42149105,0,0,0,1.54550256
1582329600000,2020-02-22 00:00:00,LSK/USDT,1.50898501,1.53,1.3877551,1.43192399,8241.40854429,5615.8022919,0,0,0,1.46753894
